%time,field.data
18620000000,EXPLORING
18762000000,EXPLORING
19262000000,EXPLORING
19762000000,EXPLORING
20262000000,EXPLORING
20766000000,TRACKING
21312000000,TRACKING
21812000000,TRACKING
22312000000,TRACKING
22812000000,TRACKING
23312000000,TRACKING
23812000000,TRACKING
24312000000,TRACKING
24812000000,TRACKING
25312000000,TRACKING
25812000000,TRACKING
26312000000,TRACKING
26812000000,TRACKING
27312000000,TRACKING
27813000000,TRACKING
28312000000,TRACKING
28812000000,TRACKING
29312000000,TRACKING
29812000000,TRACKING
30312000000,TRACKING
30812000000,TRACKING
31312000000,TRACKING
31812000000,TRACKING
32312000000,TRACKING
32812000000,TRACKING
33312000000,TRACKING
33812000000,TRACKING
34312000000,TRACKING
34812000000,TRACKING
35312000000,TRACKING
35812000000,TRACKING
36312000000,TRACKING
36812000000,TRACKING
37312000000,TRACKING
37812000000,TRACKING
38312000000,TRACKING
38812000000,TRACKING
39312000000,TRACKING
39812000000,TRACKING
40312000000,TRACKING
40812000000,TRACKING
41312000000,TRACKING
41812000000,TRACKING
42312000000,TRACKING
42812000000,TRACKING
43312000000,TRACKING
43812000000,TRACKING
44312000000,TRACKING
44812000000,TRACKING
45312000000,TRACKING
45812000000,TRACKING
46312000000,TRACKING
46812000000,TRACKING
47312000000,TRACKING
47812000000,TRACKING
48312000000,TRACKING
48812000000,TRACKING
49313000000,REACQUIRE_TARGET
49812000000,REACQUIRE_TARGET
50312000000,REACQUIRE_TARGET
50812000000,REACQUIRE_TARGET
51312000000,REACQUIRE_TARGET
51812000000,REACQUIRE_TARGET
52312000000,REACQUIRE_TARGET
52812000000,REACQUIRE_TARGET
53312000000,IDLE
53812000000,IDLE
54312000000,IDLE
54812000000,EXPLORING
55312000000,EXPLORING
55812000000,EXPLORING
56312000000,EXPLORING
56812000000,EXPLORING
57312000000,EXPLORING
57812000000,EXPLORING
58312000000,EXPLORING
58812000000,EXPLORING
59312000000,EXPLORING
59812000000,EXPLORING
60312000000,EXPLORING
60812000000,EXPLORING
61312000000,EXPLORING
61812000000,EXPLORING
62312000000,EXPLORING
62812000000,EXPLORING
63312000000,EXPLORING
63812000000,EXPLORING
64312000000,EXPLORING
64812000000,EXPLORING
65312000000,EXPLORING
65812000000,EXPLORING
66312000000,EXPLORING
66812000000,EXPLORING
67312000000,EXPLORING
67813000000,EXPLORING
68313000000,EXPLORING
68812000000,EXPLORING
69312000000,EXPLORING
69812000000,EXPLORING
70312000000,EXPLORING
70812000000,EXPLORING
71312000000,EXPLORING
71812000000,EXPLORING
72312000000,EXPLORING
72812000000,EXPLORING
73312000000,EXPLORING
73812000000,EXPLORING
74312000000,EXPLORING
74812000000,EXPLORING
75312000000,EXPLORING
75812000000,EXPLORING
76312000000,EXPLORING
76812000000,EXPLORING
77312000000,EXPLORING
77812000000,EXPLORING
78312000000,EXPLORING
78812000000,EXPLORING
79318000000,TRACKING
79862000000,TRACKING
80362000000,TRACKING
80862000000,TRACKING
81362000000,TRACKING
81862000000,TRACKING
82362000000,TRACKING
82862000000,TRACKING
83362000000,TRACKING
83862000000,TRACKING
84362000000,TRACKING
84862000000,TRACKING
85362000000,TRACKING
85862000000,TRACKING
86362000000,TRACKING
86862000000,TRACKING
87362000000,TRACKING
87862000000,TRACKING
88362000000,TRACKING
88862000000,TRACKING
89362000000,TRACKING
89862000000,TRACKING
90362000000,TRACKING
90862000000,TRACKING
91362000000,TRACKING
91863000000,TRACKING
92362000000,TRACKING
92862000000,TRACKING
93362000000,TRACKING
93862000000,TRACKING
94363000000,TRACKING
94862000000,TRACKING
95362000000,TRACKING
95862000000,TRACKING
96362000000,TRACKING
96862000000,TRACKING
97362000000,TRACKING
97862000000,TRACKING
98362000000,TRACKING
98862000000,TRACKING
99362000000,TRACKING
99862000000,TRACKING
100362000000,TRACKING
100862000000,TRACKING
101362000000,TRACKING
101862000000,TRACKING
